daytime,CPU
5/5/23 12:25,626
5/5/23 13:25,632
5/5/23 14:25,1117
5/5/23 15:25,1587
5/5/23 16:25,1912
5/5/23 17:25,2066
5/5/23 18:25,2452
5/5/23 19:25,2852
5/5/23 20:25,3192
5/5/23 21:25,3149
5/5/23 22:25,3581
5/5/23 23:25,3783
6/5/23 00:25,3977
6/5/23 01:25,3806
6/5/23 02:25,3516
6/5/23 03:25,3228
6/5/23 04:25,2936
6/5/23 05:25,2618
6/5/23 06:25,2613
6/5/23 07:25,2114
6/5/23 08:25,1669
6/5/23 09:25,1074
6/5/23 10:25,602
6/5/23 11:25,586
6/5/23 12:25,571
6/5/23 13:25,651
6/5/23 14:25,1194
6/5/23 15:25,1736
6/5/23 16:25,2155
6/5/23 17:25,2149
6/5/23 18:25,2647
6/5/23 19:25,2920
6/5/23 20:25,3339
6/5/23 21:25,3474
6/5/23 22:25,3641
6/5/23 23:25,3893
7/5/23 00:25,3908
7/5/23 01:25,3837
7/5/23 02:25,3615
7/5/23 03:25,3392
7/5/23 04:25,3059
7/5/23 05:25,2710
7/5/23 06:25,2604
7/5/23 07:25,2316
7/5/23 08:25,1663
7/5/23 09:25,1220
7/5/23 10:25,677
7/5/23 11:25,604
7/5/23 12:25,569
7/5/23 13:25,560
7/5/23 14:25,1202
7/5/23 15:25,1672
7/5/23 16:25,2102
7/5/23 17:25,2071
7/5/23 18:25,2471
7/5/23 19:25,2982
7/5/23 20:25,3358
7/5/23 21:25,3253
7/5/23 22:25,3621
7/5/23 23:25,3786
8/5/23 00:25,3973
8/5/23 01:25,3789
8/5/23 02:25,3635
8/5/23 03:25,3399
8/5/23 04:25,2927
8/5/23 05:25,2678
8/5/23 06:25,2588
8/5/23 07:25,2220
8/5/23 08:25,1824
8/5/23 09:25,1070
8/5/23 10:25,617
8/5/23 11:25,613
8/5/23 12:25,580
8/5/23 13:25,572
8/5/23 14:25,1167
8/5/23 15:25,1666
8/5/23 16:25,2133
8/5/23 17:25,2060
8/5/23 18:25,2411
8/5/23 19:25,2870
8/5/23 20:25,3358
8/5/23 21:25,3335
8/5/23 22:25,3714
8/5/23 23:25,3737
9/5/23 00:25,4039
9/5/23 01:25,3873
9/5/23 02:25,3651
9/5/23 03:25,3393
9/5/23 04:25,2949
9/5/23 05:25,2686
9/5/23 06:25,2514
9/5/23 07:25,2262
9/5/23 08:25,1852
9/5/23 09:25,1168
9/5/23 10:25,607
9/5/23 11:25,589
9/5/23 12:25,608
9/5/23 13:25,556
9/5/23 14:25,1070
9/5/23 15:25,1608
9/5/23 16:25,2087
9/5/23 17:25,2206
9/5/23 18:25,2399
9/5/23 19:25,2744
9/5/23 20:25,3336
9/5/23 21:25,3231
9/5/23 22:25,3548
9/5/23 23:25,3724
10/5/23 00:25,3825
10/5/23 01:25,3833
10/5/23 02:25,3538
10/5/23 03:25,3312
10/5/23 04:25,3011
10/5/23 05:25,2396
10/5/23 06:25,2673
10/5/23 07:25,2225
10/5/23 08:25,1704
10/5/23 09:25,1267
10/5/23 10:25,531
10/5/23 11:25,565
10/5/23 12:25,609
10/5/23 13:25,642
10/5/23 14:25,1131
10/5/23 15:25,1549
10/5/23 16:25,1986
10/5/23 17:25,2048
10/5/23 18:25,2310
10/5/23 19:25,2842
10/5/23 20:25,3195
10/5/23 21:25,3341
10/5/23 22:25,3570
10/5/23 23:25,3820
11/5/23 00:25,3980
11/5/23 01:25,3839
11/5/23 02:25,3500
11/5/23 03:25,3362
11/5/23 04:25,2964
11/5/23 05:25,2608
11/5/23 06:25,2518
11/5/23 07:25,2261
11/5/23 08:25,1732
11/5/23 09:25,1144
11/5/23 10:25,635
11/5/23 11:25,517
11/5/23 12:25,648
11/5/23 13:25,732
11/5/23 14:25,1011
11/5/23 15:25,1578
11/5/23 16:25,2088
11/5/23 17:25,2174
11/5/23 18:25,2541
11/5/23 19:25,2838
11/5/23 20:25,3272
11/5/23 21:25,3289
11/5/23 22:25,3524
11/5/23 23:25,3746
12/5/23 00:25,3965
12/5/23 01:25,3778
12/5/23 02:25,3585
12/5/23 03:25,3239
12/5/23 04:25,3040
12/5/23 05:25,2588
12/5/23 06:25,2585
12/5/23 07:25,2345
12/5/23 08:25,1644
12/5/23 09:25,1285
12/5/23 10:25,544
12/5/23 11:25,630
12/5/23 12:25,613
12/5/23 13:25,750
